movie_id,title,release_date,unknown,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,ratings_average,ratings_count,price,buy_probability
1,Toy Story (1995),0.04958294717330862,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7195796460176991,452,3.0,0.7
2,GoldenEye (1995),0.04958294717330862,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5515267175572519,131,4.0,0.6
3,Four Rooms (1995),0.04958294717330862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5083333333333333,90,5.0,0.5
4,Get Shorty (1995),0.04958294717330862,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.6375598086124402,209,3.0,0.7
5,Copycat (1995),0.04958294717330862,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.5755813953488372,86,4.0,0.6
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),0.04958294717330862,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.6442307692307693,26,3.0,0.7
7,Twelve Monkeys (1995),0.04958294717330862,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.6996173469387755,392,3.0,0.7
8,Babe (1995),0.04958294717330862,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7488584474885844,219,2.0,0.8
9,Dead Man Walking (1995),0.04958294717330862,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7240802675585284,299,3.0,0.7
10,Richard III (1995),0.03582376844656734,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.7078651685393258,89,3.0,0.7
11,Seven (Se7en) (1995),0.04958294717330862,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.711864406779661,236,3.0,0.7
12,"Usual Suspects, The (1995)",0.04156270050616668,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.8464419475655431,267,1.0,0.9
13,Mighty Aphrodite (1995),0.03881799386896699,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6046195652173914,184,4.0,0.6
14,"Postino, Il (1994)",0.06259356954444999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.7418032786885246,183,2.0,0.8
15,Mr. Holland's Opus (1995),0.035574249661367366,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.6945392491467577,293,3.0,0.7
16,French Twist (Gazon maudit) (1995),0.04958294717330862,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5512820512820513,39,4.0,0.6
17,From Dusk Till Dawn (1996),0.035324730876167394,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0.529891304347826,92,5.0,0.5
18,"White Balloon, The (1995)",0.04958294717330862,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.44999999999999996,10,5.0,0.5
19,Antonia's Line (1995),0.04958294717330862,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7391304347826086,69,2.0,0.8
20,Angels and Insects (1995),0.04958294717330862,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.6041666666666666,72,4.0,0.6
21,Muppet Treasure Island (1996),0.034932629927996006,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.44047619047619047,84,5.0,0.5
22,Braveheart (1995),0.034932629927996006,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.7878787878787878,297,2.0,0.8
